常用指标,净资产收益率(ROE),0.76,7.06,6.06,4.04,1.03,7.88,6.21,3.87,0.82,11.67,9.62,5.12,1.6,1.72,0.21,-4.7,-1.85,4.75,4.15,4.19,-0.48,5.59,2.86,-1.12,-2.97,14.46,13.43,6.24,1.8,13.11,13.77,6.58,2.31,19.02,15.41,13.2,4.31,24.57,21.73,22.21,27.29,13.84
常用指标,总资产报酬率(ROA),0.935197,8.200411,7.382718,4.786424,1.241405,9.531134,7.833402,4.884163,1.178305,13.787716,11.788246,6.483494,1.932388,1.985461,0.660615,-3.465065,-1.3123,6.027741,5.224158,4.93265,0.134543,7.293,3.927297,-0.266179,-2.020321,16.392947,15.422975,7.679866,2.020542,14.718875,13.615455,7.349075,2.466065,14.569483,11.728733,8.445952,,13.703034,,11.989521,11.613667,8.129244
常用指标,毛利率,37.568924,50.33228,53.716222,53.546448,41.443704,52.420493,52.835808,52.18118,38.166893,54.335506,56.151038,53.675882,42.417723,36.240473,31.456255,-9.797277,1.138842,50.02503,50.116692,55.704719,36.307366,52.595879,49.13833,33.277235,-50.562767,65.315861,69.137777,65.655295,58.125337,62.103559,67.157568,64.066131,56.237515,63.656874,68.224531,67.68888,58.575222,65.070517,67.914901,66.162634,65.906084,65.881596
常用指标,销售净利率,11.638729,20.427345,24.660969,25.418804,14.703492,22.54975,24.875137,23.576838,13.009158,26.722858,29.420753,25.852653,18.062795,5.742409,1.447364,-64.282447,-40.032236,14.483673,16.574408,22.107825,-4.20466,17.386813,14.407658,-11.335114,-140.72917,28.145371,33.988885,28.595116,17.910856,24.119033,29.656268,26.054928,20.524495,21.188247,25.365415,24.438804,16.699209,19.025846,22.762529,14.827,15.634187,11.492351
常用指标,期间费用率,20.913534,22.696493,20.390116,19.524948,21.239835,21.613505,18.897991,19.680777,19.750429,20.130294,17.418417,18.994456,20.426857,31.8841,31.894534,57.962724,44.728753,31.156849,28.165907,26.097999,41.235869,39.110253,36.840116,53.221317,104.573818,26.772786,23.190257,27.151105,34.10229,30.904622,29.302214,30.300853,33.097055,33.944874,33.138525,33.687849,35.127861,37.726774,36.827249,42.101507,42.518418,45.943006
常用指标,资产负债率,10.430467,11.920393,11.656206,16.794043,16.708006,17.636563,18.915153,21.900788,15.76825,16.770532,16.921861,17.040386,18.077513,18.4117,18.193519,18.230187,18.64871,20.795197,19.674962,19.381756,30.031967,34.965141,30.133826,29.718152,30.741123,19.810668,18.270656,17.791659,23.671632,20.236968,19.865414,22.388904,24.041753,26.136883,38.261966,57.599372,,62.35244,,68.672244,75.565589,74.935296
每股指标,基本每股收益,0.04,0.35,0.31,0.2,0.05,0.39,0.32,0.19,0.04,0.54,0.64,0.23,0.1,0.11,0.01,-0.29,-0.12,0.28,0.24,0.23,-0.04,0.33,0.24,-0.06,-0.23,1.07,0.99,0.46,0.13,0.89,0.82,0.42,0.15,1.3,1.3,0.74,0.23,1.15,1.08,0.9,0.95,0.51
每股指标,稀释每股收益,0.04,0.35,0.31,0.2,0.05,0.39,0.32,0.19,0.04,0.54,0.64,0.23,0.1,0.11,0.01,-0.29,-0.12,0.28,0.24,0.23,-0.04,0.33,0.24,-0.06,-0.23,1.07,0.99,0.46,0.13,0.89,0.82,0.42,0.15,1.3,1.3,0.74,0.23,1.15,1.08,0.9,0.95,0.51
每股指标,摊薄每股收益_最新股数,0.038711,0.352875,0.308203,0.202598,0.051243,0.387455,0.316238,0.194584,0.040523,0.544192,0.444389,0.231124,0.070869,0.075175,0.009198,-0.198724,-0.079556,0.190652,0.162555,0.158337,-0.016881,0.203182,0.10275,-0.039102,-0.097727,0.457974,0.425509,0.198848,0.055532,0.38208,0.350264,0.181497,0.065274,0.312722,0.289798,0.163428,0.050812,0.256503,0.239473,0.200026,0.210741,0.113853
每股指标,摊薄每股净资产_期末股数,5.11446,5.075748,5.029872,4.927414,5.009332,4.958089,4.88646,4.761451,7.211533,7.152773,7.015973,6.703355,6.478141,6.37538,6.28627,5.983652,6.163246,6.278603,6.195812,6.185109,7.886618,7.603824,8.027768,7.685696,7.559514,7.787091,7.696782,7.197815,6.729529,10.320307,10.212878,9.643024,9.650587,9.430181,9.391312,5.943818,,5.208045,,4.469906,3.777696,3.870581
每股指标,调整每股净资产_期末股数,4.696358,4.651171,4.595946,4.489241,4.571991,4.520415,4.433121,4.306224,6.543107,6.481389,6.337325,6.015843,5.782405,5.670212,5.656894,5.347339,5.524685,5.636043,5.584647,5.564032,6.90846,6.593067,7.047492,6.697181,6.567095,6.784821,6.676764,6.166845,5.700351,8.812177,9.126568,8.538221,8.538769,8.300047,8.240568,4.399447,,3.622983,,2.794788,2.048045,2.168135
每股指标,每股净资产_最新股数,5.11446,5.075748,5.029872,4.927414,5.009332,4.958089,4.88646,4.761451,4.973471,4.932947,4.838602,4.623004,4.467683,4.396814,4.335358,4.126657,4.250514,4.330071,4.272974,4.265592,3.481653,3.280793,3.447824,3.300454,3.246268,3.343995,3.305214,3.090944,2.889849,3.056434,3.024618,2.855852,2.858091,2.792817,2.781305,1.320229,,1.1568,,0.992846,0.839094,0.859725
每股指标,每股经营现金流,0.020635,0.699203,0.432624,0.194346,0.057141,0.710967,0.460614,0.207939,0.099759,1.695282,1.265171,0.631641,0.235453,0.611221,0.293507,-0.191282,-0.105574,0.735337,0.605377,0.374936,-0.091945,1.364025,0.47164,-0.136782,-0.217198,1.940369,1.619813,0.693321,0.21755,2.817276,2.428959,1.263917,0.331115,2.665581,2.393176,1.829309,,3.494768,,3.068769,2.952213,2.321895
每股指标,每股现金流量净额,-1.125009,0.077297,-0.931092,-0.617569,-0.397607,0.293534,0.213633,0.241608,-0.052747,0.986065,0.650067,0.166745,-0.112347,-0.191675,-0.363349,-0.772164,-0.482652,-0.767998,-0.731887,-0.746743,-1.145259,2.160725,1.843697,1.784989,1.875857,0.647672,0.799779,0.121914,0.356342,2.191962,2.670353,-0.136955,-0.095787,0.260943,4.889724,0.563991,,0.063461,,-0.650131,-0.619134,-0.053593
每股指标,每股企业自由现金流量,,0.165706,,0.251859,,0.396547,,0.354041,,0.081881,,-0.009372,,-0.087786,,-0.072733,,0.467004,,0.120706,,-1.706803,,-2.563667,,1.255966,,0.995272,,1.334921,,0.642559,,-0.975131,,0.959119,,2.854337,,1.72387,1.917301,-0.743071
每股指标,每股股东自由现金流量,,-0.130451,,0.344408,,0.637174,,0.983375,,-0.079154,,-0.06305,,-0.087786,,-0.072733,,0.110966,,-0.120846,,1.223427,,-0.050564,,1.185276,,0.925445,,0.226421,,0.244559,,-4.935381,,0.320952,,1.03267,,-0.159462,1.963134,2.730428
每股指标,每股未分配利润,2.012329,1.973617,1.949721,1.844116,1.927761,1.876517,1.90215,1.780496,2.894331,2.835571,2.741357,2.432123,2.199754,2.096993,2.004576,1.703087,1.875882,1.991238,1.915908,1.909792,2.909792,3.161127,3.731789,3.401973,3.265454,3.493031,3.479084,2.951264,2.617527,4.357905,4.33038,3.760525,3.768088,3.547682,3.562171,4.129247,,3.393473,,2.712661,2.075066,2.232753
每股指标,每股资本公积金,1.700175,1.700175,1.700175,1.700175,1.700175,1.700175,1.700175,1.700175,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,2.915255,3.407663,2.852321,2.759337,2.756583,2.756583,2.756583,2.756583,2.756583,2.756583,4.447046,4.447046,4.447046,4.447046,4.447046,4.447046,0.305111,,0.305111,,0.305111,0.305111,0.305111
每股指标,每股盈余公积金,0.373904,0.373904,0.353128,0.353128,0.353128,0.353128,0.256279,0.256279,0.371605,0.371605,0.321104,0.321104,0.321104,0.321104,0.317853,0.317853,0.317853,0.317853,0.308683,0.308683,0.482226,0.501426,0.417014,0.417071,0.417071,0.417071,0.355418,0.355418,0.355418,0.515356,0.435452,0.435452,0.435452,0.435452,0.382094,0.509459,,0.509459,,0.452133,0.397518,0.332716
每股指标,每股留存收益,2.386233,2.347521,2.30285,2.197244,2.280889,2.229646,2.158429,2.036775,3.265936,3.207177,3.062461,2.753227,2.520858,2.418097,2.32243,2.020941,2.193736,2.309092,2.224591,2.218476,3.392019,3.662553,4.148803,3.819044,3.682526,3.910102,3.834502,3.306682,2.972945,4.873261,4.765832,4.195977,4.20354,3.983134,3.944266,4.638707,,3.902933,,3.164794,2.472584,2.56547
每股指标,每股营业收入,0.370959,1.880858,1.428282,0.911846,0.388421,1.985012,1.497997,0.975145,0.57238,3.381152,2.548634,1.519284,0.645552,1.978438,1.303534,0.476107,0.301297,2.247181,1.705331,1.220352,0.6542,3.210999,1.929742,0.867586,0.182281,4.337669,3.335309,1.895185,0.766021,6.117827,4.592348,2.74072,1.126356,5.758548,4.386888,3.572226,,7.029778,,7.048762,6.809868,5.303208
每股指标,每股营业总收入,0.370959,1.880858,1.428282,0.911846,0.388421,1.985012,1.497997,0.975145,0.57238,3.381152,2.548634,1.519284,0.645552,1.978438,1.303534,0.476107,0.301297,2.247181,1.705331,1.220352,0.6542,3.210999,1.929742,0.867586,0.182281,4.337669,3.335309,1.895185,0.766021,6.117827,4.592348,2.74072,1.126356,5.758548,4.386888,3.572226,,7.029778,,7.048762,6.809868,5.303208
每股指标,每股息税前利润,0.058789,0.52965,0.474752,0.31368,0.081751,0.62133,0.511087,0.320265,0.109935,1.226819,1.039567,0.558099,0.164238,0.169304,0.055901,-0.286371,-0.110273,0.519494,0.443812,0.417764,0.017786,0.890081,0.472947,-0.031217,-0.236699,1.669659,1.545767,0.741112,0.195304,2.053653,1.885552,1.003657,0.339072,1.885051,1.671443,1.365857,,2.231076,,2.057318,2.044407,1.412176
盈利能力,净资产收益率(ROE),0.76,7.06,6.06,4.04,1.03,7.88,6.21,3.87,0.82,11.67,9.62,5.12,1.6,1.72,0.21,-4.7,-1.85,4.75,4.15,4.19,-0.48,5.59,2.86,-1.12,-2.97,14.46,13.43,6.24,1.8,13.11,13.77,6.58,2.31,19.02,15.41,13.2,4.31,24.57,21.73,22.21,27.29,13.84
盈利能力,摊薄净资产收益率,0.756906,6.952185,6.127465,4.111661,1.02296,7.814609,6.471731,4.086666,0.8148,11.031801,9.18425,4.999442,1.586278,1.709774,0.212179,-4.815633,-1.871684,4.402998,3.804261,3.711968,-0.484861,6.193085,2.980156,-1.184773,-3.010461,13.695415,12.873872,6.433264,1.921638,12.50085,11.58045,6.355296,2.283859,11.197396,10.419529,12.378803,,22.173487,,20.146815,25.115324,13.243013
