常用指标,每股净资产,5.494727,4.839341,4.270278,4.370094,4.357557,4.378095,3.904948,3.940939,3.89674,3.961775,3.44143,3.381641,3.398221,3.530192,3.356083,3.493092,3.621068,3.715953,3.557908,3.668217,3.813818,3.878372,3.850542,3.952148,4.05761,4.083102,3.684561,3.699706,3.791453,3.827171,3.387039,3.448104,3.563382,3.574535,3.241639,3.276863,3.379426,3.45955,3.101547,3.183952,3.224541,3.312937,2.861158,2.928192,2.949598,2.999658,2.117801,,2.18987,,,,1.916887,1.534773,1.372751,23.13739
常用指标,每股现金流,0.635725,0.811129,0.030635,0.001054,0.770522,0.85502,0.037535,-0.039195,0.939547,0.967035,0.138223,0.022257,0.013442,0.081439,-0.166289,-0.082485,-0.021885,0.067942,-0.154538,-0.102766,-0.032148,-0.010641,-0.162746,-0.09815,0.463133,0.618008,-0.023706,-0.042472,0.375341,0.639254,-0.11117,-0.147248,0.423337,0.424963,-0.095963,-0.154218,0.485581,0.664445,0.024094,-0.025209,0.412399,0.591582,-0.029942,-0.011184,0.462654,0.523887,-0.038482,,0.447728,,,,0.517121,0.552674,0.286497,9.04644
常用指标,净资产收益率(ROE),10.33,11.92,-0.18,0.38,13.13,13.4,2.02,1.02,14.19,15.45,1.34,-0.46,-6.13,-2.68,-7.7,-3.64,-5.21,-2.66,-6.99,-3.93,-5.32,-3.75,-5.48,-2.76,7.2,7.82,-2.36,-2.51,6.9,7.82,-4.52,-3.14,7.69,7.76,-4.28,-3.17,8.15,9.94,-0.52,-1.4,12.32,13.7,-0.45,-0.96,14.13,18.35,-0.87,-1.24,15.26,18.45,-3.51,,21.41,22.5,12.81,25.03
常用指标,总资产报酬率(ROA),10.912952,12.958787,0.165854,0.62251,15.074852,15.27235,2.421088,1.367051,16.067284,17.294349,1.386607,-0.299375,-6.440278,-1.934892,-6.492586,-2.98978,-5.119901,-1.947879,-5.715066,-3.197595,-4.953831,-2.708537,-4.257559,-2.171743,8.278918,8.494231,-1.750943,-1.955947,7.835224,8.619486,-3.624245,-2.837255,8.672922,8.606409,-3.525164,-2.733663,10.376603,12.32669,-0.490091,-1.343827,15.726507,16.395969,-0.523707,-1.009553,16.437822,18.344271,-2.095042,,18.197256,,,,24.865143,26.157038,10.691903,23.652298
常用指标,毛利率,37.469648,43.265382,19.039362,22.856257,41.665881,45.719433,29.42498,28.218489,42.975319,50.440219,25.216698,13.142776,-9.781755,7.034649,-178.700289,-107.024091,-8.300222,5.344919,-90.746963,-278.211443,-18.754608,-16.148449,-174.877396,-171.910355,35.106449,41.023266,4.57601,-24.069016,34.418121,40.702064,-10.196258,-39.536057,38.471518,45.280541,-11.49936,-60.683797,51.406205,54.774571,16.950292,-16.729194,56.995163,65.782199,20.369096,1.405349,56.024073,64.388782,12.983058,,55.214902,64.6079,8.727657,,61.238086,60.284541,42.31588,55.979357
常用指标,销售净利率,15.868197,23.08273,-1.129145,3.417653,19.406449,24.858277,8.267245,8.36768,22.25268,30.485503,7.306059,-5.942201,-29.480735,-15.897487,-259.807899,-166.635051,-26.808804,-16.872068,-140.741422,-380.332047,-37.795794,-40.305675,-234.500291,-212.500938,16.108732,21.30805,-18.209981,-50.9683,14.570987,20.070293,-38.270475,-74.206891,18.218331,23.013804,-49.58909,-108.900426,23.172061,33.286301,-6.751901,-56.702431,31.568759,40.012764,-5.53678,-32.780671,27.208905,35.709098,-13.420506,-79.00892,26.702049,37.264869,-30.185479,-147.105962,29.556115,30.215629,22.732309,41.001943
常用指标,期间费用率,14.330846,10.968414,17.781959,15.729833,12.298537,10.184313,14.334664,13.902879,12.966234,9.824403,16.476851,17.851693,27.221702,21.903938,76.892375,53.71624,28.469164,23.312601,48.253192,100.129655,30.557392,29.224415,71.233054,67.839351,11.557643,11.181962,18.878577,23.652387,12.530013,12.135125,24.050434,30.567033,12.15821,12.376195,33.899973,43.710202,15.6144,10.222168,22.860438,34.455778,8.90186,6.767751,21.486921,29.102097,14.447966,11.842353,27.434544,,15.145219,10.842188,37.258392,,17.069485,15.616316,11.570594,5.395392
常用指标,资产负债率,18.044747,22.768746,18.813589,17.444143,19.675642,15.456901,14.045617,13.279513,15.649613,16.17394,15.519082,15.593245,15.331154,14.281419,13.062941,16.689614,12.772577,12.827167,13.705849,15.949968,15.820614,15.946329,16.158135,16.757712,17.758802,20.291024,19.845763,20.043292,20.132322,22.917765,20.842168,18.249797,15.492567,16.641488,16.535431,15.998065,19.177451,12.004076,5.569719,5.135621,5.028755,8.349009,5.387234,5.797047,5.804671,8.109514,6.805152,9.478832,8.593056,,,,11.250425,18.826522,6.253122,5.682553
每股指标,基本每股收益,0.48,0.55,-0.01,0.02,0.54,0.55,0.08,0.04,0.52,0.57,0.05,-0.02,-0.22,-0.1,-0.27,-0.13,-0.19,-0.1,-0.26,-0.15,-0.21,-0.15,-0.22,-0.11,0.28,0.31,-0.09,-0.09,0.25,0.29,-0.16,-0.12,0.27,0.27,-0.14,-0.11,0.27,0.34,-0.02,-0.04,0.38,0.43,-0.01,-0.03,0.36,0.45,-0.03,-0.04,0.31,0.38,-0.065,,0.37,0.32,0.13,
每股指标,稀释每股收益,0.48,0.55,-0.01,0.02,0.54,0.55,0.08,0.04,0.52,0.57,0.05,-0.02,-0.22,-0.1,-0.27,-0.13,-0.19,-0.1,-0.26,-0.15,-0.21,-0.15,-0.22,-0.11,0.28,0.31,-0.09,-0.09,0.25,0.29,-0.16,-0.12,0.27,0.27,-0.14,-0.11,0.27,0.34,-0.02,-0.04,0.38,0.43,-0.01,-0.02,0.36,0.45,-0.03,-0.04,0.31,0.38,,,0.37,0.32,0.13,
每股指标,摊薄每股收益_最新股数,0.474921,0.548465,-0.007531,0.016135,0.529648,0.542783,0.077226,0.039292,0.506917,0.556795,0.044978,-0.015187,-0.2107,-0.093853,-0.263161,-0.126944,-0.189521,-0.098069,-0.252443,-0.143919,-0.204825,-0.145769,-0.21207,-0.108146,0.276327,0.301587,-0.08623,-0.092216,0.248314,0.28294,-0.153701,-0.117188,0.259926,0.267696,-0.138843,-0.103138,0.2611,0.330954,-0.016026,-0.04384,0.369207,0.42548,-0.012917,-0.027598,0.292612,0.344308,-0.025172,-0.038894,0.228586,0.281821,-0.047925,-0.042664,0.27132,0.238559,0.096636,0.204266
每股指标,摊薄每股净资产_期末股数,5.494727,4.839341,4.270278,4.370094,4.357557,4.378095,3.904948,3.940939,3.89674,3.961775,3.44143,3.381641,3.398221,3.530192,3.356083,3.493092,3.621068,3.715953,3.557908,3.668217,3.813818,3.878372,3.850542,3.952148,4.05761,4.083102,3.684561,3.699706,3.791453,3.827171,3.387039,3.448104,3.563382,3.574535,3.241639,3.276863,3.379426,3.45955,3.101547,3.183952,3.224541,3.312937,2.861158,2.928192,2.949598,2.999658,2.117801,,2.18987,,,,1.916887,1.534773,1.372751,23.13739
每股指标,调整每股净资产_期末股数,4.32469,3.961684,3.579201,3.683288,3.66347,3.681031,3.175328,3.199312,3.148393,3.234093,2.578393,2.511717,2.536768,2.727553,2.554055,2.68362,2.822742,2.955249,2.791976,2.895824,3.033729,3.145242,3.110559,3.205503,3.302361,3.31747,2.914626,2.921291,3.005948,3.036612,2.609169,2.664694,3.168926,3.187715,2.858633,2.8924,2.992153,3.105947,2.745374,2.825547,2.863569,2.978256,2.524087,2.604896,2.623937,2.670456,1.664358,,1.757374,,,,1.480979,1.099952,1.354817,22.82289
每股指标,每股净资产_最新股数,5.494727,4.738312,4.181129,4.278861,4.266586,4.286696,3.823426,3.858666,3.815389,3.879067,3.369584,3.311044,3.327277,3.456494,3.286019,3.420168,3.545473,3.638377,3.483631,3.591638,3.734199,3.797404,3.770156,3.869641,3.972901,3.997861,3.60764,3.622469,3.712301,3.747272,3.316329,3.376119,3.48899,3.499911,3.173965,3.208453,3.308875,3.387326,3.036797,3.117482,3.157224,3.243774,2.801427,2.867061,2.888021,2.937036,1.555172,1.538436,1.608095,,,,1.407634,1.127035,1.008056,0.849527
每股指标,每股经营现金流,0.635725,0.811129,0.030635,0.001054,0.770522,0.85502,0.037535,-0.039195,0.939547,0.967035,0.138223,0.022257,0.013442,0.081439,-0.166289,-0.082485,-0.021885,0.067942,-0.154538,-0.102766,-0.032148,-0.010641,-0.162746,-0.09815,0.463133,0.618008,-0.023706,-0.042472,0.375341,0.639254,-0.11117,-0.147248,0.423337,0.424963,-0.095963,-0.154218,0.485581,0.664445,0.024094,-0.025209,0.412399,0.591582,-0.029942,-0.011184,0.462654,0.523887,-0.038482,,0.447728,,,,0.517121,0.552674,0.286497,9.04644
每股指标,每股现金流量净额,0.515047,0.296483,-0.362799,-0.049655,0.281612,0.311791,-0.256848,-0.071998,0.540695,0.708051,-0.078982,0.007977,-0.188278,-0.083013,-0.228147,0.078841,-0.168874,-0.064257,-0.310883,-0.109595,-0.258357,-0.189036,-0.277608,-0.172527,0.228086,0.464165,-0.141713,-0.106214,0.221634,0.4276,-0.12287,-0.1773,-0.3769,0.070534,-0.259879,-0.258152,-0.811273,-0.337414,-0.54722,-0.099534,-0.13419,0.215084,-0.199096,-0.043292,1.158218,1.334514,-0.145061,,0.177155,,,,0.199004,-0.216359,0.254703,7.10834
每股指标,每股企业自由现金流量,-0.492909,,0.021911,,0.136497,,0.154969,,-0.040898,,0.029983,,0.092447,,-0.019663,,0.042907,,0.027973,,0.073,,-0.045626,,-0.158027,,-0.11172,,4.7e-05,,0.033585,,-0.500898,,-0.147073,,0.572507,,-0.058879,,0.087925,,0.119889,,-1.030254,,,,0.009348,,,,0.017711,0.169455,,
每股指标,每股股东自由现金流量,-0.847776,,-0.009306,,0.374244,,0.123938,,-0.100522,,0.000452,,0.103772,,-0.019982,,-0.088896,,-0.107939,,0.109204,,0.013992,,-0.083024,,-0.046688,,0.349804,,0.339919,,-0.500898,,-0.147073,,0.572507,,-0.058879,,0.087925,,0.119889,,-1.030254,,,,0.009348,,,,-0.132288,0.319455,,
每股指标,每股未分配利润,2.25175,2.411746,1.843894,1.949566,1.933087,1.986833,1.51135,1.550608,1.510477,1.596629,1.073899,1.012451,1.027962,1.147301,0.974383,1.113504,1.243155,1.336558,1.178892,1.28973,1.436718,1.497033,1.472319,1.578458,1.68891,1.742733,1.346646,1.366533,1.460715,1.521417,1.075465,1.139757,1.259444,1.29515,0.959942,0.996408,1.101746,1.204979,0.8506,0.937193,0.981968,1.078564,0.630819,0.705824,0.727183,0.809951,0.576797,,0.657077,,,,0.432469,0.100746,-0.013044,14.69264
每股指标,每股资本公积金,1.869233,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.07083,1.071011,0.38692,,0.38692,,,,0.38692,0.38692,0.371111,5.40137
每股指标,每股盈余公积金,0.361488,0.332322,0.332322,0.332322,0.332322,0.29199,0.29199,0.29199,0.29199,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.256779,0.228754,0.228754,0.228754,0.228754,0.203417,0.203417,0.203417,0.203417,0.175647,0.175647,0.175647,0.175647,0.143757,0.143757,0.143757,0.143757,0.104634,0.104634,0.104634,0.104634,0.074664,0.099553,,0.099553,,,,0.068876,0.031122,0.00375,1.87873
