常用指标,每股净资产,2.981054,3.214624,3.18942,3.050471,3.18899,3.093141,3.070267,2.888329,2.869817,2.767893,3.13253,2.940952,2.892471,2.863578,2.925878,2.865517,2.915747,2.923772,2.946231,2.929906,2.888351,2.834858,3.613024,3.577946,6.614993,6.618489,6.832035,6.498293,6.364481,5.831632,5.70842,5.368216,5.248497,5.046336,4.952285,4.68183,4.588509,4.408724,4.313143,4.084704,3.990683,3.856719,3.41672,6.524001,6.347183,6.17529,6.094427,5.835886,5.713986,5.623024,5.513516,5.307284,5.293051,5.207583,5.137317,4.974527,7.427923,7.317257,7.231214,6.998406,15.23346,15.075236,3.051133,2.475909,,2.111752,,2.735114,2.015702
常用指标,每股现金流,0.071389,0.588997,0.498266,0.275336,0.122896,0.551109,0.503416,0.265375,0.132803,0.5415,0.474414,0.207322,0.06339,0.126957,0.110225,0.00521,0.008042,0.287021,0.282305,0.18398,0.033042,0.150664,0.060695,-0.047328,-0.014074,1.081814,1.027356,0.685259,0.494335,1.13399,0.981881,0.583816,0.322125,1.214379,0.931168,0.479949,0.264702,0.70924,0.745467,0.394689,0.197723,0.630091,0.546759,0.706868,0.304178,0.946622,0.768716,0.416974,0.157705,0.769693,0.622094,0.38013,0.17351,0.713475,0.451466,0.352465,0.194747,0.79803,0.722914,0.425452,0.328427,1.490237,1.756961,0.957131,,1.196128,,1.645329,4.25443
常用指标,净资产收益率(ROE),2.73,9.89,9.06,4.8,3.02,13.67,13.11,7.3,3.41,-1.49,10.03,3.97,0.8,-0.63,0.99,-0.38,-0.51,4.22,5.72,4.99,1.77,-20.5,1.4,0.42,0.52,14.52,13.49,8.53,4.08,16.38,14.67,8.73,4.31,15.6,13.52,7.9,3.75,15.07,12.91,7.49,3.4,15.15,13.84,7.76,2.74,11.01,9.69,5.4,1.58,9.72,8.06,4.54,1.63,9.22,7.85,4.64,1.5,8.5,7.31,4.05,1.04,32.54,,25.33,,40.31,,45.02,43.95
常用指标,总资产报酬率(ROA),2.891514,10.79996,10.0397,5.672002,3.143085,14.018654,13.202054,7.483188,3.419521,0.7754,9.959919,4.05626,0.918158,-0.413089,0.900977,-0.319279,-0.372239,3.959983,5.324505,4.655191,1.719715,-17.090846,1.405778,0.34403,0.422976,14.914798,13.687309,8.651215,4.001472,15.790174,14.806005,8.82394,4.285367,16.034762,14.174911,8.268156,3.876208,16.254043,13.582691,7.917871,3.59221,15.439357,13.051712,9.187585,3.073048,13.495154,11.504238,6.603565,1.841006,12.693624,9.666524,5.655949,1.852351,11.372541,9.046661,5.329865,1.68753,10.551715,8.124504,5.049908,1.232216,13.183514,26.401936,14.157393,,23.220054,,26.391295,19.990986
常用指标,毛利率,64.862786,64.755382,68.359224,65.720697,68.085427,67.611364,71.86703,69.185848,68.748777,66.345156,71.451387,63.945433,51.017262,50.136209,58.494343,32.924769,42.219586,51.084099,59.002742,63.771729,63.099931,60.926668,65.338843,77.092813,76.328898,71.391274,73.342684,69.708127,69.772323,66.427017,70.184354,67.903317,67.974516,63.191636,66.048619,63.638222,61.461526,61.645256,66.148148,63.958727,61.925808,65.649893,72.98626,72.887311,64.744574,67.182064,74.044689,72.461179,66.347953,70.808267,74.594375,71.415943,60.745655,69.653328,72.264055,70.881871,60.302438,75.169464,77.691129,76.16676,63.406548,76.281671,78.048017,76.196488,62.305209,69.944078,73.764358,76.32626,78.108918
常用指标,销售净利率,40.715871,37.706131,43.255625,38.08589,45.10258,44.474459,51.640497,47.615674,45.626077,-5.637208,49.752155,40.718128,24.905159,-16.322485,14.39294,-40.664006,-53.983177,25.538272,42.197871,51.435903,41.933675,-195.764794,19.913223,10.47008,34.125977,52.260049,58.906141,57.198872,47.390174,39.784523,46.09743,43.644981,44.886176,35.361569,39.984455,37.862107,36.30947,34.659136,39.440995,36.724586,33.775843,38.090277,46.302599,48.648522,44.287287,39.002813,44.489833,44.325341,36.64428,45.492087,50.376686,51.158819,53.866335,43.744859,48.477872,53.137735,57.711411,44.044479,49.079591,49.244829,47.552201,36.725234,41.985669,39.155946,14.677532,32.35035,35.582451,33.903011,36.82486
常用指标,期间费用率,14.037584,18.075291,14.985488,15.222089,14.642844,13.341449,11.069419,11.272308,13.714947,12.021745,10.099009,11.55752,17.683925,88.591201,79.181595,200.453562,137.044093,30.601844,24.548671,19.206202,21.615733,41.700003,49.533536,82.405676,88.894387,13.952289,12.559994,14.594221,14.980219,17.425887,15.381994,16.807824,18.372285,18.143857,16.860504,17.829042,17.052761,17.364754,15.633375,16.382797,16.271864,14.149871,10.790576,9.228949,12.229661,13.599686,14.172913,14.145909,17.670166,12.458708,10.936804,11.797908,16.230285,14.883622,13.070061,13.478442,17.40149,15.588685,12.936081,14.906159,25.683417,21.330907,18.896567,21.048201,39.469301,24.287113,23.435654,26.707787,27.92454
常用指标,资产负债率,12.820236,14.534409,14.37386,14.450398,13.007261,14.133375,14.761773,15.430874,16.69495,16.860097,15.821979,16.355623,16.290201,16.964899,17.012767,18.071166,18.401739,19.043365,19.027164,19.066472,17.805271,15.878501,11.873947,12.042935,9.726944,10.494316,12.326325,13.639349,13.179224,10.434644,13.719626,14.140094,14.714393,14.585359,12.60095,11.916339,13.214602,13.292507,15.505547,16.415811,17.761775,18.219097,28.678995,7.750171,7.60428,8.536573,8.442142,9.138903,6.368775,7.913185,8.186715,6.685289,7.122104,8.32619,9.974239,11.353327,10.509637,11.082049,12.711996,12.864972,12.226123,14.853066,56.197149,61.001785,,62.532016,,61.225867,60.483013
每股指标,基本每股收益,0.0807,0.312,0.2875,0.1523,0.095,0.4009,0.3852,0.2103,0.0963,-0.042,0.301,0.1158,0.0231,-0.0183,0.029,-0.0111,-0.0148,0.1205,0.1654,0.1447,0.0506,-0.6702,0.0512,0.0152,0.0191,0.5124,0.8743,0.5405,0.2549,0.8861,0.79,0.4579,0.2218,0.73,0.63,0.36,0.17,0.62,0.5258,0.3,0.1336,0.45,0.3845,0.2062,0.0658,0.27,0.24,0.31,0.09,0.55,0.45,0.24,0.09,0.46,0.39,0.23,0.07,0.4,0.34,0.19,0.07,0.57,0.52,0.26,,0.7,,0.53,0.38
每股指标,稀释每股收益,0.0807,0.312,0.2875,0.1523,0.095,0.4009,0.3852,0.2103,0.0962,-0.042,0.301,0.1158,0.0231,-0.0183,0.029,-0.0111,-0.0148,0.1205,0.1654,0.1447,0.0506,-0.6702,0.0512,0.0152,0.0191,0.5124,0.8743,0.5405,0.2549,0.8861,0.79,0.4579,0.2218,0.73,0.63,0.36,0.17,0.62,0.5258,0.3,0.1336,0.45,0.3845,0.2062,0.0658,0.27,0.24,0.31,0.09,0.55,0.45,0.24,0.09,0.46,0.39,0.23,0.07,0.4,0.34,0.19,0.07,0.57,0.52,0.26,,0.7,,0.53,0.38
