常用指标,每股净资产,3.286529,3.320172,3.310148,3.340119,3.362444,3.391899,3.439414,3.466209,3.434875,3.443357,3.429962,3.392199,3.392741,3.392911,3.404638,3.384533,3.344797,2.879072,2.860582,2.860039,2.951901,2.972329,2.898497,2.783183,2.946223,2.875557,2.813816,2.7614,2.722009,2.761607,2.704782,2.7162,2.730373,2.742335,2.71852,2.70596,2.697876,2.788346,2.812724,2.843679,2.847091,2.865671,2.842205,2.834163,2.84074,2.901829,2.931462,2.949067,2.977747,3.011939,3.018045,3.015364,3.013309,4.444495,4.383194,,2.776734,2.623299,,2.265883,2.178756,1.686407
常用指标,每股现金流,0.286947,-0.098598,-0.034847,-0.005614,0.24302,-0.006645,-0.060291,0.017301,0.22942,0.022427,-0.056851,0.043809,0.214565,0.040076,0.02617,0.100438,-0.371884,-0.664214,-0.63669,-0.321407,0.630275,0.366607,0.087891,0.012514,0.102806,-0.152361,-0.15571,-0.223611,-0.415872,-0.358563,-0.303948,-0.187504,-0.162407,-0.281138,-0.09678,-0.126982,-0.056529,-0.057596,-0.03489,-0.034308,0.197931,0.073111,0.064162,0.029718,0.295449,0.16358,0.078535,0.139908,-0.28892,-0.400898,-0.429467,-0.108659,0.18177,-0.427897,-0.393031,,0.354369,0.248685,,0.555602,0.051183,0.150134
常用指标,净资产收益率(ROE),-2.28,-1.24,-1.52,-0.7,0.77,0.89,-0.12,-0.77,0.96,1.43,1.11,0.08,0.87,0.91,1.5,0.97,-1.77,1.04,0.91,0.14,1.08,2.95,1.23,-0.99,7.09,6.49,4.34,1.35,4.05,3.58,1.86,-0.53,1.2,1.59,0.74,0.28,-5.38,-2.08,-1.21,-0.12,0.22,0.87,0.05,-0.23,-4.57,-2.45,-1.43,-0.97,0.42,1.54,1.73,0.07,6.88,5.22,4.11,,20.26,14.62,5.09,21.78,25.48,27.2
常用指标,总资产报酬率(ROA),-0.804431,-0.479401,-0.83243,-0.323023,1.417639,1.172539,0.220543,-0.384746,1.332254,1.349954,0.971293,0.197161,1.211975,1.092483,1.296064,0.774626,-0.221157,1.125176,0.971865,0.222971,1.757416,2.296493,1.227401,-0.173622,5.796683,5.022575,3.409925,1.244506,3.969805,3.497119,1.929007,-0.301397,1.680196,1.703548,0.844607,0.311033,-4.373323,-1.547012,-0.817037,0.00943,0.830196,1.292726,0.364374,-0.003226,-3.179841,-1.539017,-0.761084,-0.680312,1.87605,2.039338,2.116684,0.360235,6.684819,5.227807,3.216961,,13.305751,9.5889,,14.047269,16.620831,16.284727
常用指标,毛利率,14.998203,15.0745,14.675097,15.944678,18.620172,19.194659,18.231028,15.985074,17.644871,17.797018,18.537615,19.233437,18.580612,17.748416,18.744805,19.526807,16.555324,16.920945,16.669096,14.194111,17.795609,18.80745,18.943807,20.305103,21.415682,21.201861,21.051323,18.340417,19.249336,18.688125,17.177699,14.774896,16.562374,16.648562,16.72974,17.118497,14.365593,15.537539,16.299713,15.38923,15.404052,14.871629,14.819531,8.33598,15.10855,14.610653,14.746066,13.667533,21.01891,22.518048,23.711966,22.138922,26.091731,25.528185,26.322359,24.112905,29.014962,29.514532,26.611493,30.591874,35.420725,33.786347
常用指标,销售净利率,-3.357887,-2.751161,-5.809783,-5.976837,0.922301,1.574091,-0.363614,-6.56446,0.904604,1.868815,2.337446,0.479698,0.856806,1.202677,2.941605,3.958138,-1.634441,0.85683,1.337351,0.464771,0.728962,2.782765,1.984152,-7.402114,5.024079,6.54223,6.856752,4.405379,3.680573,4.689428,3.995576,-3.413947,1.846638,3.407363,2.438184,2.252431,-13.894691,-7.98906,-6.794809,-1.330413,0.525245,2.784123,0.23896,-2.955855,-11.402274,-9.052239,-8.640217,-13.897563,0.655425,2.908649,4.969152,0.557652,7.196615,6.298091,6.13522,0.463801,9.975635,9.620692,5.415196,8.805649,10.74004,9.339563
常用指标,期间费用率,18.36048,17.175742,19.733385,22.264553,16.853637,16.774622,17.360889,23.425403,15.317479,14.324931,14.582121,18.213823,15.78405,14.669626,14.407667,13.930568,15.822547,13.882162,14.039689,13.951625,15.342106,13.655946,13.767873,23.017972,15.892913,14.173868,13.689898,12.722408,13.719458,11.624668,10.969769,14.557496,14.803261,12.898776,12.20532,13.06939,23.380258,22.863813,23.002177,18.184675,20.997359,17.709728,15.983929,17.258529,20.08851,18.881005,20.520218,22.539775,18.728772,16.353693,15.220776,19.972018,17.075166,16.663752,17.732763,25.174319,16.005534,16.588581,18.587501,20.088421,21.360637,20.505763
常用指标,资产负债率,43.885568,27.88286,29.064414,31.059695,31.91545,34.570413,33.613227,34.976995,36.347176,39.095949,39.638131,39.081754,40.830909,37.004135,40.86238,40.507467,45.089271,56.275154,51.311256,49.745636,51.605639,51.917452,50.720422,49.24099,47.612358,44.439531,42.511198,39.511258,36.984172,31.634118,31.160617,23.777174,21.567648,20.947007,16.782294,14.900539,15.978493,14.57976,15.221041,14.369384,15.790542,14.555221,15.446967,14.493224,13.998345,17.60268,19.11765,18.806098,23.488183,31.754772,33.111257,33.278363,35.487043,27.21542,34.150561,,57.255527,59.490631,,60.214017,56.257325,56.57545
每股指标,基本每股收益,-0.08,-0.04,-0.05,-0.02,0.03,0.03,0.0,-0.03,0.03,0.05,0.04,0.003,0.03,0.03,0.05,0.03,-0.06,0.03,0.03,0.004,0.03,0.09,0.04,-0.03,0.2,0.18,0.12,0.04,0.11,0.1,0.05,-0.01,0.03,0.043,0.02,0.007,-0.15,-0.059,-0.034,-0.003,0.01,0.0249,0.0015,-0.007,-0.13,-0.072,-0.04,-0.029,0.01,0.05,0.05,0.002,0.18,0.12,0.08,0.002,0.34,0.36,0.12,0.42,0.39,0.32
每股指标,稀释每股收益,-0.08,-0.04,-0.05,-0.02,0.03,0.03,0.0,-0.03,0.03,0.05,0.04,0.003,0.03,0.03,0.05,0.03,-0.06,0.03,0.03,0.004,0.03,0.09,0.04,-0.03,0.2,0.18,0.12,0.04,0.11,0.1,0.05,-0.01,0.03,0.043,0.02,0.007,-0.15,-0.059,-0.034,-0.003,0.01,0.0249,0.0015,-0.007,-0.13,-0.072,-0.04,-0.029,0.01,0.05,0.05,,0.18,,,,0.51,0.36,,0.42,0.39,0.32
