常用指标,每股净资产,2.296941,2.274682,2.260389,2.24853,2.233337,2.205889,1.911152,1.890092,1.82682,1.868819,1.950691,1.999282,1.884174,1.871702,1.899561,1.881714,1.756092,1.645455,1.593282,1.508394,1.429366,1.557952,1.293018,1.290427,1.295948,1.369773,1.690021,1.687845,1.683804,1.679336,1.688515,1.686364,1.683577,1.669086,1.762828,1.754803,1.747665,1.730909,1.712757,1.665881,1.573304,1.68171,2.037869,2.043312,3.110597,3.207429,3.236288,3.219949,3.230212,3.259839,3.604769,3.604879,3.564986,3.553156,3.666342,3.633309,7.22165,7.148323,7.071797,7.042935,3.465313,3.338142,3.224309,3.175905,3.090328,6.122405,6.015896,7.793543,4.824913,4.747232,4.618095,4.503066,4.386852,4.290595,4.215323,2.907939,2.710499,3.011036,,,2.415479,2.006722
常用指标,每股现金流,0.048081,0.510206,0.436075,0.227161,0.05953,0.927174,0.432187,0.27859,0.022376,0.088799,-0.230085,-0.234147,-0.070041,0.056703,0.120434,0.153974,0.151916,0.254217,0.566696,0.481696,0.180225,0.041915,0.178895,0.018487,-0.052201,0.071026,0.122818,0.060059,-0.036395,0.596358,0.271008,0.479379,0.331595,0.381446,0.011743,0.078699,0.066491,0.134779,-0.128932,-0.129755,-0.125057,0.04406,-0.134539,-0.270346,0.131305,0.047539,-0.193206,-0.051773,-0.285548,-0.267761,0.144909,0.183754,0.020119,0.403531,0.051904,0.116838,0.005527,0.139815,0.086791,0.222132,0.258987,-0.089268,0.009898,0.049631,0.006645,0.250646,0.131729,0.274325,0.039049,0.350141,0.129839,0.077547,-0.106378,-0.278535,-0.254971,0.094238,0.200544,0.723108,,,0.091036,0.548945
常用指标,净资产收益率(ROE),1.14,3.04,2.23,1.69,1.1,11.15,-2.9,-4.22,-2.35,-5.32,-0.52,1.81,0.68,7.21,9.53,8.96,4.61,12.59,10.56,5.22,0.14,-21.38,-5.0,-5.74,-5.44,-21.89,0.51,0.46,0.18,1.02,1.45,1.33,1.25,-3.73,1.84,1.45,0.31,2.41,0.3,-1.24,-1.38,-23.26,-4.81,-3.3,-1.74,0.27,0.07,-1.88,-1.47,-4.78,1.63,1.63,0.43,0.6,3.76,2.98,0.81,8.83,7.8,9.33,3.32,7.95,5.44,3.68,0.95,6.8,,3.36,,11.23,,5.97,,15.99,,,5.97,21.95,,,18.49,14.03
常用指标,总资产报酬率(ROA),1.135943,3.066077,2.245253,1.645632,0.979045,5.990513,-1.119385,-1.879058,-0.85635,-1.891218,0.401201,1.177575,0.493561,4.764521,6.416008,6.204113,3.173307,8.295202,6.913456,3.627963,0.466848,-3.523405,0.687734,-0.150615,-1.040614,-4.606895,3.025501,2.23682,1.120087,4.693887,3.473612,2.291313,1.335872,3.349614,3.301502,2.458945,0.729024,5.066854,2.048519,1.100874,0.184843,-9.716724,0.085452,-0.137269,-0.026906,3.770689,2.31427,1.018234,-0.114577,-0.712921,2.711308,2.368905,0.726731,2.656742,3.61513,3.072455,0.825186,7.945274,6.492163,4.561048,2.083761,6.075564,4.519968,3.113842,0.983286,5.768294,4.556621,2.912923,1.555854,9.322617,8.452197,5.813882,2.516786,12.002244,10.429081,10.239088,4.647316,15.75921,,,11.7177,8.276682
常用指标,毛利率,19.499269,16.840126,16.484942,15.978963,17.98463,10.391322,9.958581,12.251074,12.530397,13.93826,17.184378,18.579922,19.043249,22.742008,26.597334,29.997309,31.176513,24.246886,22.721751,18.947961,14.874919,10.736651,13.580551,10.928379,8.708827,20.781659,29.990779,29.775229,34.47001,29.877525,28.525916,29.67998,28.789286,22.664608,28.552771,27.127402,23.251239,27.387703,26.369082,21.94455,23.998072,17.185172,16.944847,17.165536,15.609249,22.662985,18.573592,15.894421,13.626393,12.735757,23.093207,22.384094,30.136234,20.410342,29.307876,29.40458,29.199194,37.254094,37.033789,37.218412,32.827536,26.992148,24.687468,29.17548,26.878883,23.294409,24.106644,24.92831,23.832414,24.541534,26.099977,27.147464,25.284813,26.500847,27.586957,27.29319,28.491225,25.109294,25.07885,24.480315,23.3051,20.427287
常用指标,销售净利率,6.710921,4.23998,4.172562,4.641803,6.627111,9.534144,-5.331176,-9.94654,-8.786662,-6.914631,-1.386879,2.880556,2.240069,6.7948,12.269591,16.571457,16.238352,11.69354,12.323981,10.055161,0.418963,-20.226496,-8.126123,-17.144986,-31.334402,-47.672132,2.40154,3.780432,2.16509,2.133033,4.116882,4.18363,8.313106,-4.503846,4.519276,5.179693,2.953513,3.214506,1.117205,-4.017392,-16.043798,-63.471901,-21.720214,-26.456731,-19.64828,0.701313,1.557561,-5.857729,-15.473559,-17.413294,5.872746,7.762611,6.946032,1.218473,12.933022,13.744016,10.061665,16.090257,19.688583,21.612407,17.10187,12.296913,11.224876,14.387701,8.714293,11.262415,11.407132,11.367606,8.750768,13.30399,14.01292,16.092892,13.530105,13.003215,13.756645,16.377745,16.939198,14.190913,14.554155,13.389495,11.753005,9.71043
常用指标,期间费用率,10.513916,10.724821,10.991095,9.772371,9.936631,17.284455,12.672666,15.399705,19.568115,14.928426,17.310447,14.690523,15.297015,14.501084,13.86312,13.270876,12.801631,15.065039,12.952247,13.623604,14.130252,23.432952,24.980793,32.446802,42.668362,45.115374,34.504361,31.841796,40.67095,39.084056,31.966214,26.295855,30.834313,24.601568,23.827416,21.711629,22.375268,23.304965,26.346675,26.23792,39.387455,46.585037,38.872242,43.165317,35.412388,27.745614,22.430286,25.127183,28.874712,32.69559,21.070472,20.353186,28.808125,18.24689,15.410396,15.361168,21.034487,17.648956,12.973606,11.805419,12.331083,13.959579,11.765571,13.020614,17.785769,10.367365,10.571206,11.424289,13.632852,9.957253,8.939095,8.60021,10.391575,11.289154,11.181281,7.672107,8.608417,8.034976,7.60247,8.300082,9.438878,9.259924
常用指标,资产负债率,18.332361,15.594573,21.763975,27.077355,34.707635,37.288368,57.739856,58.548279,60.360332,59.972036,61.063383,59.21164,57.242743,55.36766,47.060792,42.293458,43.69856,42.171967,42.077916,42.152985,52.256357,54.510347,67.993148,67.308066,67.151038,64.105725,56.987303,56.772878,56.95344,58.801263,59.878878,62.105208,62.212014,66.42287,65.806151,61.804057,62.04022,61.660834,64.16803,64.038213,66.616678,62.943651,56.409702,54.282071,53.491206,53.661727,56.182568,57.129485,56.393918,54.693062,47.31759,46.557926,46.613052,49.069533,32.894739,36.246717,39.031184,31.346893,32.923518,34.454505,54.649489,55.868921,42.659543,44.685503,43.133758,46.557665,36.601319,31.547732,45.584995,47.334954,36.722827,36.103359,31.045815,31.145973,23.671713,37.401966,40.053246,42.045354,,,50.477044,56.579899
每股指标,基本每股收益,0.0261,0.07,0.0499,0.0375,0.0243,0.23,-0.0542,-0.0792,-0.045,-0.1,-0.0102,0.0363,0.0136,0.14,0.1783,0.1675,0.0851,0.21,0.1743,0.0837,0.0022,-0.26,-0.07,-0.08,-0.07,-0.33,0.01,0.01,0.003,0.02,0.02,0.02,0.02,-0.06,0.03,0.03,0.01,0.04,0.005,-0.02,-0.02,-0.45,-0.1,-0.07,-0.04,0.01,0.0022,-0.06,-0.05,-0.17,0.06,0.06,0.02,0.02,0.14,0.11,0.03,0.24,0.43,0.16,0.11,0.25,0.16,0.11,0.03,0.18,0.25,0.2,0.08,0.51,0.38,0.26,0.1,0.51,0.44,0.35,0.16,0.51,,,0.35,0.22
每股指标,稀释每股收益,0.0261,0.07,0.0499,0.0375,0.0243,0.23,-0.0542,-0.0792,-0.045,-0.1,-0.0102,0.0363,0.0136,0.14,0.1783,0.1675,0.0851,0.21,0.1743,0.0837,0.0022,-0.26,-0.07,-0.08,-0.07,-0.33,0.01,0.01,0.003,0.02,0.02,0.02,0.02,-0.06,0.03,0.03,0.01,0.04,0.005,-0.02,-0.02,-0.45,-0.1,-0.07,-0.04,0.01,0.0022,-0.06,-0.05,-0.17,0.06,0.06,0.02,0.02,0.14,0.11,0.03,0.24,0.43,0.16,0.11,0.25,0.16,0.11,0.03,0.18,0.25,0.2,0.08,0.51,0.38,0.26,0.1,0.51,0.44,0.35,0.16,0.51,,,0.35,0.22
