常用指标,每股净资产,4.021933,4.026605,4.016616,4.016442,4.236806,4.276718,4.280444,4.240897,4.298675,4.287425,4.259874,4.120572,4.01012,3.977487,3.888442,3.879349,3.820457,3.726234,4.132099,4.094609,4.056632,4.003692,5.559451,5.530125,5.477382,5.267744,7.411845,6.985748,6.294299,5.480051,6.53929,5.424106,4.612816,3.617557,3.44014,3.394669,3.404545,3.367288,3.364625,3.357259,3.35062,3.359573,3.334588,3.341753,3.376919,3.330791,3.29829,3.222676,3.213255,3.2049,2.350386,3.092076,3.019574,2.92495,2.778414,2.722415,2.654476,2.545626,2.378128,2.243369,2.234595,2.074953,2.000531,1.969739,2.064923,4.104711,4.19089,4.126336,4.104573,2.418165,1.846838,1.730275,1.645979,1.56389,1.48373,2.78801,2.513743,2.526724,2.695228,2.764879,3.563723,3.532421,3.487572,3.468611,4.004568,3.954744,3.90891,3.899306,3.866274,3.828914,3.78298,3.757118,3.827979,2.44302,2.287279,1.871013,1.665961
常用指标,每股现金流,-0.131713,-0.07222,-0.05093,0.158789,0.138661,0.079871,-0.004617,0.21262,0.177152,0.084379,-0.009691,0.062038,0.138963,0.06842,-0.043719,-0.009943,0.135621,0.154972,0.0129,0.152177,0.051285,-0.002918,-0.038314,1.618475,1.364224,1.177572,1.126255,3.161599,2.639065,1.319283,0.384232,1.933659,1.002308,0.437027,0.069604,0.183324,0.177867,0.075354,0.099883,0.234565,0.109533,0.094011,-0.068776,0.288982,-0.030613,-0.094762,-0.146896,0.354461,-0.272207,-0.273162,-0.368011,0.663,0.331604,0.10955,-0.215573,0.20331,0.058454,-0.005,-0.09338,-0.029964,-0.08765,-0.007048,0.021355,-0.072801,-0.110332,0.096318,0.173111,-0.475063,0.181163,0.174913,-0.003824,0.145306,0.17901,0.034477,0.024558,1.527412,0.120608,0.056176,0.022652,0.062195,0.122727,0.089624,0.066928,-0.136602,0.036674,0.02147,0.069321,-0.459937,-0.339244,-0.108157,0.064431,-0.283901,,0.104432,-0.723764,,
常用指标,净资产收益率(ROE),0.6975,0.34,0.04,1.1,1.5,1.0,1.0,2.48,2.32,1.71,1.32,5.53,3.11,2.28,0.23,7.15,5.8,3.37,0.86,3.58,2.63,1.31,0.52,14.67,14.22,10.8,5.49,44.07,43.28,28.06,17.79,46.62,29.24,6.83,1.25,1.16,1.36,0.26,0.19,0.54,0.26,0.52,-0.21,4.91,5.98,4.64,2.31,5.84,5.53,5.3,2.59,11.53,10.3324,7.16,2.02,19.33,16.8,12.63,5.83,14.67,10.11,5.69,1.56,0.74,,5.25,,31.64,,24.71,,15.91,,7.15,,1.72,,,,-22.42,,1.82,,-11.48,,,,3.27,,,,7.49,,,20.02,,
常用指标,总资产报酬率(ROA),0.903709,0.335517,0.056985,1.061929,1.586416,1.138416,1.065685,2.605998,2.373674,1.718346,1.294969,6.135634,3.212873,2.413807,0.495235,7.172929,5.778913,3.278677,0.917212,3.746026,2.568655,1.174845,0.468645,13.76897,13.316048,10.215827,5.210787,48.722709,40.635734,30.330007,16.435678,44.256399,27.03104,6.545596,1.240959,1.80271,1.325617,0.608982,0.152367,1.829754,0.151204,1.285836,-0.062111,5.199107,4.317856,3.626989,1.860818,5.524215,5.085409,4.228594,2.11606,10.61359,8.670037,5.95993,1.931101,15.192158,12.4615,8.796315,3.891996,11.115383,7.618329,4.099484,1.475783,1.34903,3.971673,3.578355,1.160103,20.771291,16.792166,12.172402,2.767562,9.098332,6.683674,3.691791,1.316563,2.96091,-0.961728,-1.746768,-0.494749,-6.607946,2.897165,2.187964,0.826218,-2.797601,3.474068,2.013502,0.763118,3.863738,2.791489,1.895389,0.776065,5.665819,4.398237,3.998877,7.807334,7.887403,8.295225
常用指标,毛利率,10.167757,11.135918,13.18525,13.992911,17.834769,22.674265,26.031982,19.033963,17.64971,18.58528,18.005732,25.883629,29.190848,31.224839,27.552933,33.50705,32.972192,32.693623,29.974918,28.709509,24.61061,23.538519,28.128879,45.008056,48.361075,50.447131,52.314925,75.097798,76.886292,81.061761,83.140334,76.58596,74.659669,46.608237,33.276478,25.404744,22.969021,20.388292,19.7213,23.962722,24.001893,24.891949,22.978971,29.302003,31.69788,34.207947,34.547474,31.526282,31.710679,33.157768,30.435829,32.742596,33.173393,33.626172,34.347342,38.303889,39.24118,40.421189,41.862001,32.91301,32.009655,28.828946,26.320978,21.669953,24.046617,28.053051,34.047527,39.182412,46.153459,38.746607,33.68725,27.148687,27.811855,26.28821,24.444128,7.056045,6.524415,4.688452,4.179783,7.772871,18.489405,22.005737,19.205122,14.990664,21.327071,20.007503,17.327181,18.703047,18.581026,18.950793,17.457581,20.92706,21.304797,20.303107,19.442135,20.274763,22.097207
常用指标,销售净利率,3.481894,2.460414,0.165996,3.651576,7.686113,7.257523,12.588135,8.20943,10.194822,10.800104,16.833728,17.548665,12.41853,13.426856,3.451502,23.981753,25.0844,22.117216,15.118917,15.164037,14.559096,10.868055,7.959608,28.928328,34.709084,37.331851,41.082308,51.397117,52.741133,55.671474,57.618164,47.56851,42.385947,24.721253,10.463887,1.253241,3.588296,0.266351,0.910112,0.557871,0.368333,2.055323,-2.198984,7.640482,12.673111,14.514544,14.110275,6.9332,9.546532,11.469189,11.629345,11.950599,13.081783,13.120582,8.313976,14.05743,16.195552,19.25801,19.547323,13.112715,12.854363,10.63932,7.153907,-0.917954,8.406745,12.554499,7.75619,18.573853,23.148998,19.510827,12.678874,7.619472,8.490019,7.77837,5.647755,1.82661,-13.067399,-19.279753,-12.478639,-27.465606,3.838209,4.874344,2.22877,-14.686382,5.492806,4.032792,2.01687,4.606554,5.30244,4.965512,3.063581,7.739534,7.960715,8.212415,11.571225,6.763204,7.760698
常用指标,期间费用率,11.363719,11.702094,11.839018,9.157241,9.32932,8.338612,6.946758,8.879906,9.026664,9.549457,10.502728,8.2303,9.418521,9.701672,9.287478,11.922959,10.735575,10.494906,11.954209,9.832397,10.37147,10.348704,9.453777,10.861818,9.576226,9.331617,11.157866,10.355124,11.250063,11.46427,13.348751,16.219131,21.125055,16.26561,18.651609,21.327818,22.145905,23.671573,26.180357,24.272413,22.870066,24.217469,22.965782,20.390527,18.700925,18.385229,16.442558,21.402517,19.320083,18.534075,16.344191,17.850887,17.53155,16.780978,23.637391,15.284096,14.874034,15.196278,17.38395,16.086459,16.207992,16.400098,18.424105,18.879317,18.087337,18.655033,24.809414,15.014212,17.056765,14.03054,18.747419,17.3006,17.557907,17.636567,17.736517,6.101364,19.115569,24.705587,17.512947,33.200921,14.083954,15.862719,15.974043,28.197313,14.916171,15.480529,16.125308,12.390497,12.086223,12.82706,13.762932,10.860069,11.06248,9.825343,8.878282,9.213274,8.259103
常用指标,资产负债率,14.872413,14.378365,14.22866,14.126797,13.47978,13.672689,15.530073,15.042022,15.680867,14.362558,16.063236,16.787306,19.306613,19.559648,16.465372,14.873864,15.517843,18.621676,13.874249,13.988669,14.525937,15.109634,15.100841,14.11937,13.638253,15.925519,17.140415,16.021044,19.858366,21.158376,22.001607,26.94183,25.060455,25.13681,23.572552,24.871391,26.59008,28.158489,27.980534,33.169733,35.351249,35.297091,35.746381,37.200828,37.868887,41.084578,42.088238,43.1469,41.822702,40.893114,55.637795,44.322918,44.13239,46.405427,47.328093,44.732119,47.119723,48.206405,49.300044,49.7353,48.935441,49.868599,47.914319,48.129112,47.09485,50.98259,51.166614,47.827405,46.80374,61.661813,67.250265,66.878051,66.175541,67.590198,66.415973,68.3257,65.458903,64.084796,61.184153,60.415033,53.301665,55.068305,56.040785,54.42236,48.875798,51.557791,52.229235,51.5172,45.667197,44.887828,45.084988,45.690493,41.422726,63.339083,64.218654,64.783397,68.00955
每股指标,基本每股收益,0.03,0.0144,0.0018,0.05,0.0646,0.0433,0.0425,0.11,0.0972,0.0717,0.055,0.22,0.1226,0.0895,0.0089,0.29,0.2295,0.1319,0.0352,0.14,0.1052,0.0521,0.0286,0.53,0.7163,0.5378,0.3946,2.15,2.5295,1.7702,1.0591,2.11,1.164,0.2396,0.0428,0.04,0.0458,0.0087,0.0064,0.018,0.0087,0.0173,-0.0069,0.1624,0.1973,0.1531,0.0752,0.1451,0.1569,0.1393,0.0705,0.2998,0.2966,0.202,0.0555,0.4801,0.4114,0.3024,0.1347,0.3173,0.2176,0.1209,0.0377,0.0149,0.1194,0.2226,0.0639,0.9525,0.8,0.5288,0.1202,0.2554,0.19,0.108,0.028,0.025,-0.2474,-0.2342,-0.068,-0.7,,0.064,,-0.42,,,,0.13,,,,0.23,0.19,,0.42,,
每股指标,稀释每股收益,0.03,0.0144,0.0018,0.05,0.0646,0.0433,0.0425,0.11,0.0972,0.0717,0.055,0.22,0.1226,0.0895,0.0089,0.29,0.2295,0.1319,0.0352,0.14,0.1052,0.0521,0.0286,0.53,0.7163,0.5378,0.3946,2.12,2.5295,1.7702,1.0591,2.04,1.164,0.2396,0.0428,0.04,0.0458,0.0087,0.0064,0.018,0.0087,0.0173,-0.0069,0.1624,0.1973,0.1531,0.0752,0.1451,0.1569,0.1393,0.0705,0.2998,0.2966,0.202,0.0555,0.4801,0.4114,0.3024,0.1347,0.3173,0.2176,0.1209,0.0377,0.0149,0.1194,0.2226,0.0639,0.9525,,,,,0.19,0.108,0.028,,-0.2474,-0.2342,-0.068,,,,,,,,,,,,,,,,,,
