常用指标,每股净资产,5.980933,5.385164,5.35945,5.986139,5.624058,5.172082,5.086175,5.201388,4.919602,4.797099,4.46457,4.472646,4.340615,4.184333,3.942945,4.000967,3.907053,3.766319,3.657627,3.882834,3.802324,3.672566,3.482228,3.646816,3.496602,3.378151,3.16189,3.703079,3.643964,3.551366,3.42067,3.459571,3.411859,3.336997,3.267603,3.36526,3.301212,3.261995,3.184724,3.324335,3.243135,3.256415,3.101436,3.363376,3.186159,2.974702,2.778631,2.965468,1.787615,,1.771287,,1.473823,,1.286372,1.271024,1.121401
常用指标,每股现金流,2.82755,2.157488,1.187597,0.423429,1.446153,0.809405,0.093129,-0.135477,0.837735,0.61766,0.230342,0.029517,0.751513,0.598355,0.445701,0.224315,0.923383,0.427038,0.292895,-0.027052,0.766427,0.708354,0.344755,-0.059634,0.102863,-0.107209,-0.169282,-0.070849,0.446259,0.137044,0.131774,0.104094,0.39461,0.268716,0.230308,0.061101,0.364126,0.303086,0.196499,0.019645,0.376228,0.216533,0.211866,0.222963,0.568594,0.297458,0.233886,0.217847,0.588527,,0.116938,,0.632386,,0.078935,-0.040268,0.533376
常用指标,净资产收益率(ROE),34.45,25.54,13.66,5.89,28.66,21.17,12.83,5.11,20.65,16.98,9.8,2.97,15.09,11.33,6.23,2.3,13.06,9.97,7.09,2.05,19.28,14.61,9.38,3.65,17.17,13.68,7.68,3.13,10.35,7.67,4.39,1.64,8.31,6.2,4.04,2.08,9.0,7.83,5.6,2.72,14.17,13.58,9.58,5.13,25.72,19.0,12.16,6.39,40.3,30.42,18.75,9.94,29.36,,20.71,12.19,38.9
常用指标,总资产报酬率(ROA),20.499582,14.22552,8.749358,3.731409,17.506382,12.805984,7.643811,3.08733,11.86237,9.697317,5.545857,1.592194,8.778003,6.697452,3.635573,1.390141,8.007706,6.124025,4.567962,1.297131,12.451582,9.623225,6.113755,2.377792,11.269314,9.118055,5.195537,2.305299,7.845665,5.785155,3.389291,1.508123,6.514019,4.746215,3.154033,1.51335,6.706797,5.454517,4.227397,1.961097,10.812581,9.570508,6.782861,3.577037,19.970277,14.295804,9.715213,4.571927,20.978379,,10.069959,,15.408751,,12.774153,8.245024,20.738496
常用指标,毛利率,39.279347,36.928552,35.763486,35.377602,38.096899,36.715596,35.478258,33.30345,31.40025,30.938865,29.702043,28.644207,30.510857,28.038599,27.911723,27.365967,27.847699,26.917411,27.393869,24.390764,34.458678,34.79129,35.311733,35.27498,36.244012,35.812886,35.350421,36.356325,34.519227,32.665094,30.71554,29.797406,31.319404,31.30284,32.190397,32.04689,35.402978,35.159466,36.512398,38.483399,41.615535,40.427665,41.485482,47.510862,45.14835,44.132939,44.129978,41.815135,44.976094,45.738626,46.180921,45.347082,37.556042,36.448533,32.156408,37.268231,38.077994
常用指标,销售净利率,20.864385,20.099253,18.921539,17.054249,18.686111,18.741854,17.410002,14.665327,13.241322,14.015396,14.075713,9.022321,11.684789,11.931043,10.33639,7.483242,9.584723,10.121994,11.14667,7.780148,14.695339,15.003959,15.454641,14.037754,14.998333,16.872043,15.893484,14.198477,9.763264,9.68693,8.252622,6.866727,8.46058,8.699572,8.548603,9.721829,10.34639,12.363702,12.53892,12.92085,16.003324,19.485523,18.842495,24.996685,20.92373,21.078224,20.599209,22.033132,19.358671,19.836678,18.134825,21.18318,13.360918,13.023336,10.66636,10.246625,19.075081
常用指标,期间费用率,12.522761,11.271795,12.009413,13.221124,13.137511,12.899834,13.451054,15.471829,13.825646,11.642443,11.201043,17.237024,15.234703,12.266365,13.921356,17.499833,14.944457,14.019284,13.721597,14.097727,16.799828,17.823429,17.867984,19.188031,18.17953,15.493219,16.315338,19.006733,19.755332,20.165363,19.156308,22.707929,19.573859,19.778282,19.697036,20.611413,20.935979,20.015619,21.198273,24.429052,22.928845,21.81976,20.019186,19.8189,19.020467,19.051704,18.296653,16.647741,19.438866,,20.707951,16.864167,18.769364,,18.14303,22.915385,14.564791
常用指标,资产负债率,55.599293,58.050694,52.475924,46.031125,49.307686,50.075309,52.195779,48.622067,51.467485,52.242931,55.008082,52.294881,52.342441,49.769929,53.269882,46.111165,49.51499,50.88524,50.711473,46.973812,45.6883,45.445251,49.875128,45.269671,46.186932,45.186174,52.133885,40.69902,44.287635,44.116675,44.154932,42.315027,38.440955,41.051296,41.378593,36.112021,37.528472,37.990407,41.18539,37.245666,37.159938,38.22914,43.493546,38.10019,39.852802,44.690101,42.139612,40.395894,55.330298,,51.288817,,59.985543,,60.104884,49.238976,52.110286
每股指标,基本每股收益,2.1,1.44,0.83,0.34,1.52,1.09,0.64,0.26,0.96,0.79,0.45,0.13,0.62,0.46,0.25,0.09,0.5,0.38,0.28,0.08,0.7,0.53,0.34,0.13,0.61,0.49,0.29,0.12,0.37,0.27,0.15,0.06,0.28,0.21,0.14,0.07,0.29,0.26,0.19,0.09,0.46,0.44,0.31,0.17,0.75,0.54,0.34,0.18,0.67,0.51,0.3,0.16,0.42,,0.27,0.15,0.41
每股指标,稀释每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.34,,0.67,0.51,0.3,,0.42,,0.27,0.15,0.41
