常用指标,每股净资产,2.06243,2.05621,2.051532,2.028269,2.011223,1.995285,1.980074,1.960585,1.943963,1.927646,1.922173,1.902298,1.866436,1.860251,1.848188,1.810909,1.777082,1.768534,1.777676,1.754099,1.749513,1.739828,1.729227,1.715035,,1.698395,1.678749,1.64999,1.590777,1.593469,0.836798,0.7851,0.72415,1.217032,0.355615,0.344546,0.232599,0.226016,0.155614,0.15497,0.101009,0.118685,-3.181417,-3.041073,-2.779349,-2.649503,0.175926,0.384765,0.66231,0.792083,1.533674,1.757877,2.054773,2.18725,2.581693,2.937089,3.082244,3.171683,3.320005,3.317788,3.331278,3.319463,3.245447,3.211649,3.168064,2.039418,,1.837843,,1.763838,1.582453,1.649752,1.134755,0.958039
常用指标,每股现金流,-0.230447,0.13863,0.017762,0.061363,-0.067955,0.239347,0.074272,0.00943,-0.03831,0.099776,-0.038337,-0.072186,-0.011913,0.206512,0.029269,-0.085551,-0.127606,0.08212,0.027599,-0.002087,-0.014874,-0.153823,-0.108504,-0.098107,-0.071873,-0.050832,-0.115055,-0.099423,-0.066611,0.137889,0.077086,-0.142057,-0.139944,0.061346,-0.091395,-0.058488,-0.093042,0.030812,-0.045969,0.007803,-0.015473,-0.596396,-0.619823,-0.371385,-0.311004,-0.396941,-0.145468,-0.051783,-0.076712,-0.249685,-0.487824,-0.296239,-0.208285,-0.697405,-0.92972,-0.509149,-0.444073,-1.127488,-0.911652,-0.609404,-0.290467,-0.240171,-0.524779,-0.42118,-0.281884,0.075069,,-0.781921,,0.035178,-0.133834,0.265752,0.129116,0.025014
常用指标,净资产收益率(ROE),0.86,3.1723,2.99,1.66,0.77,3.05,2.94,1.52,0.78,3.15,2.56,1.4,0.6,3.07,2.44,1.28,0.59,3.07,2.33,0.98,0.55,2.69,2.34,0.74,0.02,4.14,2.71,1.45,0.14,12.62,6.94,2.38,-3.68,46.03,45.13,42.28,2.75,62.56,13.69,27.32,-45.0,,,,,,-127.7047,-69.41,-17.87,-93.97,-35.1307,-21.81,-6.259,-73.78,-20.5138,-7.69,-2.83,-2.54,1.45,1.45,0.28,5.34,3.09,2.07,0.61,13.7,,4.06,,14.88,,22.02,8.86,0.63
常用指标,总资产报酬率(ROA),0.466622,2.125619,1.703531,0.935816,0.422289,1.848765,1.651081,0.910778,0.414287,1.897473,1.495247,0.805939,0.360091,1.719391,1.357737,0.729288,0.337602,1.925553,1.434353,0.655098,0.336071,1.794129,1.433769,0.582168,,2.62301,1.545583,0.872602,0.14093,2.880371,2.159886,1.085322,-0.220473,5.397376,3.880909,3.615314,0.405589,4.194569,2.098447,1.696934,-0.022867,6.268717,-4.029773,-3.348803,-0.592143,-40.678829,-4.631352,-2.895145,-0.686911,-12.043444,-4.814462,-3.045324,-0.774814,-9.973613,-2.8891,-0.758018,-0.156306,1.33979,1.546893,1.128678,0.367497,2.711569,1.8753,1.336028,0.525809,3.792946,,1.584007,,4.651095,1.321522,6.476777,3.740143,1.198958
常用指标,毛利率,12.455199,15.985915,15.312856,13.309445,12.24894,15.111404,16.218882,14.355075,10.925812,16.804439,13.04613,10.25866,10.409426,14.353939,13.553867,13.461927,11.163792,15.52226,13.942825,12.047092,10.500214,14.961248,13.476502,11.947225,8.850608,15.658247,15.501145,13.396086,11.016623,17.553038,17.732547,15.175786,9.751397,17.740939,15.188603,17.134365,8.689519,17.549943,13.821873,11.222862,9.680787,-8.615626,-7.445721,-8.105865,-2.898513,-27.09517,-12.617112,-11.771509,-4.339144,-17.314129,-11.578844,-10.331956,-3.790042,-24.7281,-7.348755,4.205935,10.374115,15.453002,15.593899,16.809174,18.530661,19.034439,19.534208,19.571232,17.939669,18.477448,17.280483,16.264221,13.879799,17.869835,20.350672,21.070738,20.134317,18.174672
常用指标,销售净利率,3.762494,3.592635,4.649008,3.626605,3.377115,3.686384,5.002979,3.608078,3.965202,3.922672,4.640973,3.401402,3.258128,4.478052,5.09717,4.196281,3.807374,4.41572,4.812138,2.883653,3.529382,3.995302,5.297633,2.480535,0.018657,5.560874,5.479585,3.718109,0.677994,5.330783,4.791116,2.270059,-7.496343,10.293992,20.76095,34.3387,3.939465,10.851577,5.527636,7.779504,-6.755306,3.733688,-67.044817,-76.7655,-66.088602,-202.146557,-47.701271,-48.34054,-37.527973,-65.492604,-38.321138,-33.473873,-22.440181,-72.434141,-34.250393,-21.120893,-23.906039,-1.92139,1.642015,2.55301,1.224629,4.160563,3.485888,3.404835,1.959135,4.77047,3.651989,2.84755,1.250588,4.623542,7.138118,7.531249,2.581081,0.228907
常用指标,期间费用率,8.687828,8.812094,9.104605,7.890143,8.377675,8.545725,9.595238,8.417514,7.854087,10.392565,6.646689,4.592147,6.53491,8.270035,6.370848,6.19825,7.583633,10.469964,7.934902,7.886898,9.757169,10.285987,7.145479,8.497342,10.62208,7.844509,7.840187,7.681942,9.806644,9.209539,10.759869,10.53589,15.628538,14.214252,19.421248,23.635849,23.447129,20.415225,21.743274,22.127877,16.653,67.588515,53.236545,56.985873,63.515637,63.639112,32.372257,32.499181,34.049309,32.353833,25.284021,21.285372,18.208575,36.384271,26.356275,24.541431,33.85056,17.652058,13.726349,13.860843,17.70836,13.927491,14.094401,13.795807,14.981944,13.084559,12.50742,11.919077,11.930679,11.529121,12.942983,13.184975,16.097802,16.676683
常用指标,资产负债率,53.985942,54.458774,55.081615,54.909229,54.206112,54.557602,53.02882,52.313962,52.266187,51.685731,50.63133,50.261115,50.946328,50.627007,52.197672,52.211158,52.578779,52.247318,51.821956,50.413199,52.028604,51.963497,52.110438,52.774249,,53.593215,54.906319,54.438008,56.612018,57.569119,81.183558,81.657232,82.02892,81.595197,91.722646,91.825143,94.187882,94.335515,96.202419,96.219288,97.533224,97.152218,150.068092,147.118221,141.632751,139.852509,97.931208,95.440425,92.354433,90.869816,83.446289,81.6466,79.474874,76.777931,80.833046,77.965157,77.253971,76.259142,74.155564,73.306167,72.077193,72.798989,72.097453,72.247037,72.252719,83.721038,,83.781999,,83.612441,79.706488,77.224241,80.6148,81.44773
每股指标,基本每股收益,0.0176,0.0643,0.0605,0.0335,0.0154,0.0599,0.0574,0.0295,0.0151,0.0597,0.0484,0.0263,0.0113,0.0558,0.0437,0.0228,0.0107,0.0543,0.0409,0.0171,0.0099,0.0464,0.0401,0.0126,0.0003,0.0686,0.0463,0.0233,0.0022,0.0913,0.0556,0.0184,-0.0274,0.1366,0.1312,0.1206,0.0065,0.108,0.0375,0.0376,-0.0185,0.0283,-0.5331,-0.3925,-0.13,-3.4435,-0.6181,-0.4084,-0.13,-1.3985,-0.6536,-0.4301,-0.13275,-1.7095,-0.5901,-0.2349,-0.089,-0.0829,0.0483,0.0484,0.0092,0.168,0.0956,0.0625,0.0172,0.2594,,0.0732,,0.2494,,0.2924,0.0846,0.0056
每股指标,稀释每股收益,0.0176,0.0643,0.0605,0.0335,0.0154,0.0599,0.0574,0.0295,0.0151,0.0597,0.0484,0.0263,0.0113,0.0558,0.0437,0.0228,0.0107,0.0543,0.0409,0.0171,0.0099,0.0464,0.0401,0.0126,0.0003,0.0686,0.0463,0.0233,0.0022,0.0913,0.0556,0.0184,-0.0274,0.1366,0.1312,0.1206,0.0065,0.108,0.0375,0.0376,-0.0185,0.0283,-0.5331,-0.3925,-0.13,-3.4435,-0.6181,-0.4084,-0.13,-1.3985,-0.6536,-0.4301,-0.13275,-1.7095,-0.5901,-0.2349,-0.089,-0.0829,0.0483,0.0484,0.0092,0.168,0.0956,0.0625,0.0172,0.2594,,0.0732,,0.2494,,0.2924,0.0846,0.0056
