常用指标,净资产收益率(ROE),9.73,12.46,1.57,-3.99,11.79,15.28,4.05,-1.68,15.88,18.5,4.9,-2.15,-1.47,1.3,-3.28,-2.8,4.33,7.68,2.83,-1.69,-10.97,-7.66,-5.84,-4.89,18.57,,0.97,,14.81,-0.88,14.6,-4.38,20.07,-5.45,17.97,-10.15,6.46,7.78,8.01,12.61
常用指标,总资产报酬率(ROA),8.507627,10.911474,1.580544,-2.792852,11.868435,16.085574,4.74641,-1.591345,17.539453,19.994217,5.356707,-1.880018,-0.755563,1.878965,-2.650609,-2.383905,4.430157,7.604274,2.664843,-1.311137,-6.323907,-5.095755,-4.277832,-3.80109,19.067171,,1.432885,,14.433738,0.333025,12.910462,-1.192009,12.73575,-0.519808,11.43945,-0.417104,5.459792,4.398515,4.565181,6.40518
常用指标,毛利率,47.35418,56.134847,36.111267,-105.967386,55.590863,65.219673,54.159529,-19.921413,59.988515,67.994846,56.738783,-47.124388,27.191723,38.52313,-18.704942,-197.971796,44.929572,55.238583,47.325251,-49.544427,0.98883,-42.361584,-49.813163,-516.5027,59.738042,65.452968,40.711093,-68.67682,56.071004,34.215084,50.9396,21.133855,55.319075,29.108091,46.182224,17.778424,36.339999,36.8989,42.14861,51.127633
常用指标,销售净利率,21.831772,33.66367,7.792988,-192.236657,28.4784,43.404535,28.581499,-75.238458,35.058565,46.772623,32.335642,-116.757712,-9.299246,8.617699,-79.499616,-348.502882,18.033413,34.724428,24.014243,-105.682487,-85.431619,-114.765026,-125.426643,-833.97314,32.407791,42.035511,4.884309,-161.029109,28.494533,-4.528769,25.100447,-29.307794,21.619206,-18.502129,17.080532,-25.383921,9.097676,11.918995,11.47368,14.506457
常用指标,期间费用率,21.683518,16.89684,24.878584,82.047155,21.594032,14.499951,19.603329,50.431554,19.38765,13.983542,19.527233,66.458533,30.788284,26.55875,58.701451,146.169095,23.380019,17.02776,21.8221,42.328461,83.650975,78.28491,82.773052,303.285421,19.952631,13.981042,28.795099,88.134254,19.534207,36.274232,21.592242,50.349336,27.471356,46.265889,27.305852,49.349231,32.596418,29.696911,28.868099,27.788245
常用指标,资产负债率,28.906078,27.641529,30.073221,29.316394,28.740895,16.180431,7.90537,6.237721,6.773779,7.010688,6.846446,4.406296,10.228167,10.172931,10.488547,12.638648,13.284325,13.456419,14.685248,15.949617,16.963269,16.4954,21.378916,19.003623,20.421888,,24.367309,,25.581423,30.116164,32.256391,40.107819,46.717288,64.443839,59.824782,75.164467,68.297637,73.616594,76.285466,71.99893
每股指标,基本每股收益,0.48,0.64,0.07,-0.19,0.56,0.74,0.19,-0.08,0.68,0.8,0.2,-0.08,-0.06,0.05,-0.13,-0.11,0.17,0.31,0.11,-0.07,-0.33,-0.29,-0.2,-0.17,0.63,,0.03,-0.11,0.44,-0.02,0.39,-0.11,0.4,-0.1,0.3,-0.12,0.09,0.1,0.1,0.14
每股指标,稀释每股收益,0.48,0.64,0.07,-0.19,0.56,0.74,0.19,-0.08,0.68,0.8,0.2,-0.08,-0.06,0.05,-0.13,-0.11,0.17,0.31,0.11,-0.07,-0.33,-0.29,-0.2,-0.17,0.63,,0.03,-0.11,0.44,-0.02,0.39,-0.11,0.4,-0.1,0.3,-0.12,0.09,0.1,0.1,0.14
每股指标,摊薄每股收益_最新股数,0.481815,0.636029,0.072429,-0.191046,0.558149,0.743961,0.189491,-0.077278,0.681183,0.804569,0.198176,-0.08382,-0.060007,0.053774,-0.13246,-0.11333,0.173877,0.314047,0.113084,-0.065831,-0.279074,-0.223188,-0.152257,-0.128021,0.474518,0.540383,0.02279,-0.082583,0.328965,-0.018275,0.290917,-0.080342,0.241292,-0.057791,0.174343,-0.072059,0.055255,0.059652,0.056776,0.080676
每股指标,摊薄每股净资产_期末股数,5.043052,5.223695,4.660094,4.696618,4.887665,5.073161,4.518691,4.551966,4.629245,4.752129,4.145735,3.863884,3.947704,4.061089,3.874853,3.994037,4.107314,4.247179,4.046217,3.867301,3.933132,3.987384,3.376584,3.408791,3.579379,,3.070336,,3.139948,2.676961,2.801328,2.306313,2.513469,1.653688,1.796292,1.143991,1.500147,1.35309,1.251763,1.155321
每股指标,调整每股净资产_期末股数,3.540177,3.767115,3.183563,3.271494,3.442711,4.304439,3.738747,3.761071,3.826767,3.969631,3.353095,3.060039,3.129837,3.235161,3.03806,3.146194,3.248434,3.376282,3.164264,2.974305,3.187389,3.061219,2.355945,2.378737,2.539808,,2.019533,,2.070194,1.587736,1.693032,1.637132,1.829482,0.703635,0.897119,0.184298,0.568383,0.38775,0.279591,1.137179
每股指标,每股净资产_最新股数,5.043052,5.223695,4.660094,4.696618,4.887665,5.073161,4.518691,4.551966,4.629245,4.752129,4.145735,3.863884,3.947704,4.061089,3.874853,3.994037,4.107314,4.247179,4.046217,3.867301,3.933132,3.987384,2.532438,2.556593,2.684534,,2.302752,,2.354961,2.00772,2.100996,1.729735,1.885102,0.973542,1.057494,0.673478,0.883151,0.796577,0.736925,0.680148
每股指标,每股经营现金流,0.851883,1.093877,0.354262,-0.063912,0.747982,0.864931,0.293907,-0.071662,0.970103,1.059307,0.349965,-0.033751,0.131434,0.221399,-0.029549,-0.08299,0.428411,0.559277,0.27953,-0.020007,-0.171331,-0.116658,-0.158461,-0.135064,1.01098,1.0929,0.191968,-0.115366,0.84455,0.090451,0.714323,-0.002032,0.683828,0.064692,0.581384,0.056801,0.522985,0.265646,0.504294,0.493866
